# Free-form noul questions about live speech (docs/laya-audio.md, "Free-form questions").
#
# family  family_split  phrasing_split  text  real_label_rule
#
# family_split: train   = asked in distillation training;
#               heldout = never asked in training (generalisation to new question families);
#               para    = paralinguistic, never trained (tone, not words: a transcript teacher cannot teach it).
# phrasing_split: in train families, one phrasing per family is held out (never asked in training).
# real_label_rule (optional): where a real label exists.
#   tag:A|B|C     a labelled span with any of these tags lies (mostly) in the window; a trailing * matches a prefix.
#                 Only evaluated on sets whose label file uses that tag namespace (the part before '=').
#   subset:A|B    the utterance's corpus subset starts with A or B (a domain proxy, pooled across sets).
#
# ---------------------------------------------------------------- assistant intents
topic.money	train	train	They are talking about money, prices or costs.	tag:topic=project budget
topic.money	train	train	The conversation is about a budget or spending.	tag:topic=project budget
topic.money	train	heldout	The topic is financial.	tag:topic=project budget
topic.design	train	train	They are discussing the design of a product.	tag:topic=look and usability|topic=components, materials and energy sources|topic=evaluation of prototype(s)
topic.design	train	heldout	The topic is how a device should look or be built.	tag:topic=look and usability|topic=components, materials and energy sources|topic=evaluation of prototype(s)
topic.politics	train	train	The topic is politics, laws or government.	subset:voxpopuli
topic.politics	train	train	They are talking about a political decision or policy.	subset:voxpopuli
topic.politics	train	heldout	The subject is how a country or union is governed.	subset:voxpopuli
topic.food	train	train	The topic is food or eating.
topic.food	train	heldout	They are talking about a meal.
topic.family	train	train	They are talking about family members or relationships.
topic.family	train	heldout	The subject is someone's parents, children or partner.
topic.travel	train	train	The topic is travel or a journey.
topic.travel	train	heldout	They are talking about going on a trip.
topic.nature	train	train	The topic is nature, animals or the countryside.
topic.nature	train	heldout	They are talking about plants, animals or the weather outside.
topic.war	train	train	The topic is war, fighting or weapons.
topic.war	train	heldout	They are talking about soldiers or a battle.
topic.religion	train	train	The topic is religion or God.
topic.religion	train	heldout	They are talking about faith or the church.
topic.sport	heldout	heldout	The topic is sport or games.
topic.sport	heldout	heldout	They are talking about a match, a team or a player.
topic.health	heldout	heldout	The topic is health, illness or medicine.
topic.health	heldout	heldout	They are talking about a doctor or feeling sick.
topic.tech	heldout	heldout	The topic is technology, computers or electronics.
topic.tech	heldout	heldout	They are talking about a gadget or software.
# ---------------------------------------------------------------- mentions
ent.number	train	train	A number is mentioned.	tag:ne=NUMEX
ent.number	train	train	The speaker says a number or a quantity.	tag:ne=NUMEX
ent.number	train	heldout	Some amount is stated.	tag:ne=NUMEX
ent.price	train	train	A price or an amount of money is mentioned.	tag:ne=MONEY|entity=currency_name
ent.price	train	train	The speaker says how much something costs.	tag:ne=MONEY|entity=currency_name
ent.price	train	heldout	A sum in euros, dollars or pounds comes up.	tag:ne=MONEY|entity=currency_name
ent.time	train	train	A time or a date is mentioned.	tag:ne=TIMEX|entity=date|entity=time
ent.time	train	train	The speaker says when something happens, like a day or a time.	tag:ne=TIMEX|entity=date|entity=time
ent.time	train	heldout	A moment in time is specified.	tag:ne=TIMEX|entity=date|entity=time
ent.person	train	train	A person's name is mentioned.	tag:entity=person
ent.person	train	train	The speaker refers to somebody by their name.	tag:entity=person
ent.person	train	heldout	Somebody is named.	tag:entity=person
ent.place	heldout	heldout	A place, a city or a country is mentioned.	tag:entity=place_name|ne=LOCATION
ent.place	heldout	heldout	The speaker names a location.	tag:entity=place_name|ne=LOCATION
ent.color	heldout	heldout	A colour is mentioned.	tag:ne=COLOUR|entity=color_type
ent.color	heldout	heldout	The speaker names a colour like red or blue.	tag:ne=COLOUR|entity=color_type
# ---------------------------------------------------------------- tone of voice (never trained)
para.angry	para	heldout	The speaker sounds angry.	tag:emotion=ANG
para.angry	para	heldout	The voice sounds irritated or annoyed.	tag:emotion=ANG
para.happy	para	heldout	The speaker sounds happy or cheerful.	tag:emotion=HAP
para.happy	para	heldout	The voice sounds joyful.	tag:emotion=HAP
para.sad	para	heldout	The speaker sounds sad.	tag:emotion=SAD
para.sad	para	heldout	The voice sounds unhappy or depressed.	tag:emotion=SAD
para.afraid	para	heldout	The speaker sounds scared or afraid.	tag:emotion=FEA
para.disgust	para	heldout	The speaker sounds disgusted.	tag:emotion=DIS
para.calm	para	heldout	The speaker sounds calm and neutral.	tag:emotion=NEU
para.excited	para	heldout	The speaker sounds excited.
para.hesitant	para	heldout	The speaker sounds hesitant.
